nights_bucket,searches,bookings,gap,conversion_rate
1-2 nights,8676,900,7776,10.4
3-5 nights,9503,1022,8481,10.8
6-14 nights,3603,213,3390,5.9
15+ nights,2101,39,2062,1.9
