ds,ds_checkin,ds_checkout,n_nights,n_guests_min,n_guests_max,origin_country,room_type_clean,nights_bucket,search_year,search_month,checkin_dow,checkin_month,lead_time_days,has_price_filter
2014-10-01,2015-03-11,2015-03-19,8.0,4,4,IT,Entire home/apt,6-14 nights,2014,10,2.0,3.0,161.0,True
2014-10-01,2015-07-06,2015-07-12,6.0,10,10,ES,Entire home/apt,6-14 nights,2014,10,0.0,7.0,278.0,False
2014-10-01,2014-10-04,2014-10-06,2.0,2,2,IE,No Filter,1-2 nights,2014,10,5.0,10.0,3.0,False
2014-10-01,2014-10-04,2014-10-06,2.0,1,4,ES,Entire home/apt,1-2 nights,2014,10,5.0,10.0,3.0,False
2014-10-01,,,,1,1,IE,Private room,nan,2014,10,,,,True
2014-10-01,2014-10-24,2014-10-26,2.0,1,1,IE,Entire home/apt,1-2 nights,2014,10,4.0,10.0,23.0,False
2014-10-01,2014-10-25,2014-10-26,1.0,1,1,IE,No Filter,1-2 nights,2014,10,5.0,10.0,24.0,False
2014-10-01,2014-10-26,2014-10-27,1.0,1,1,IE,Entire home/apt,1-2 nights,2014,10,6.0,10.0,25.0,True
2014-10-01,,,,1,1,IT,Entire home/apt,nan,2014,10,,,,False
2014-10-01,2014-10-02,2014-10-10,8.0,1,1,IT,No Filter,6-14 nights,2014,10,3.0,10.0,1.0,False
2014-10-01,,,,1,1,GB,No Filter,nan,2014,10,,,,False
2014-10-01,2015-03-19,2015-03-23,4.0,2,2,GB,Entire home/apt,3-5 nights,2014,10,3.0,3.0,169.0,True
2014-10-01,2015-03-21,2015-03-24,3.0,2,2,GB,Entire home/apt,3-5 nights,2014,10,5.0,3.0,171.0,True
2014-10-01,2014-12-01,2014-12-10,9.0,1,1,US,No Filter,6-14 nights,2014,10,0.0,12.0,61.0,False
2014-10-01,2014-10-17,2014-10-18,1.0,2,2,US,No Filter,1-2 nights,2014,10,4.0,10.0,16.0,True
2014-10-01,2014-11-03,2014-11-08,5.0,2,2,US,Entire home/apt,3-5 nights,2014,10,0.0,11.0,33.0,True
2014-10-01,,,,1,3,NL,Entire home/apt,nan,2014,10,,,,False
2014-10-01,,,,1,1,IE,No Filter,nan,2014,10,,,,False
2014-10-01,2014-12-05,2014-12-07,2.0,4,8,IE,Entire home/apt,1-2 nights,2014,10,4.0,12.0,65.0,False
2014-10-01,,,,1,1,IE,Entire home/apt,nan,2014,10,,,,False
2014-10-01,2014-10-15,2014-10-16,1.0,1,1,IE,No Filter,1-2 nights,2014,10,2.0,10.0,14.0,False
2014-10-01,,,,1,1,IE,No Filter,nan,2014,10,,,,False
2014-10-01,2014-10-04,2014-10-05,1.0,1,1,IE,Entire home/apt,1-2 nights,2014,10,5.0,10.0,3.0,False
2014-10-01,2014-11-20,2014-11-23,3.0,2,2,US,No Filter,3-5 nights,2014,10,3.0,11.0,50.0,True
2014-10-01,2014-11-28,2014-11-30,2.0,2,2,US,No Filter,1-2 nights,2014,10,4.0,11.0,58.0,True
2014-10-01,2014-10-13,2014-11-14,32.0,1,1,IE,No Filter,15+ nights,2014,10,0.0,10.0,12.0,False
2014-10-01,2014-10-10,2014-10-13,3.0,2,2,GB,Entire home/apt,3-5 nights,2014,10,4.0,10.0,9.0,False
2014-10-01,,,,1,1,IE,No Filter,nan,2014,10,,,,False
2014-10-01,2014-10-07,2014-10-09,2.0,1,1,IE,Entire home/apt,1-2 nights,2014,10,1.0,10.0,6.0,False
2014-10-01,,,,1,1,RU,No Filter,nan,2014,10,,,,False
2014-10-01,2015-07-06,2015-07-09,3.0,2,2,UA,No Filter,3-5 nights,2014,10,0.0,7.0,278.0,True
2014-10-01,2014-10-25,2014-10-27,2.0,2,2,IT,Private room,1-2 nights,2014,10,5.0,10.0,24.0,True
2014-10-01,2014-10-04,2014-10-05,1.0,2,2,IE,No Filter,1-2 nights,2014,10,5.0,10.0,3.0,False
2014-10-01,2014-10-04,2014-10-05,1.0,1,1,AR,No Filter,1-2 nights,2014,10,5.0,10.0,3.0,True
2014-10-01,2014-10-23,2014-10-24,1.0,3,3,FR,No Filter,1-2 nights,2014,10,3.0,10.0,22.0,True
